lc_idx,bls_period,bls_duration,bls_t0,bls_power,bls_depth_ppm,bls_depth_err_ppm,label,activity_class,planet_present,planet_period_days,transit_depth_ppm,star_mass_msun,star_radius_rsun,file_id,above_threshold,period_match,recovered
48,14.709430039618718,0.15000000000000002,6.595918749467827,1946406.4121803516,263.65605382908774,0.13421180689007775,3,strong,1,14.7053,253.78941657704496,1.030845559829561,0.9412082390886132,0000001413,True,True,True
49,3.6333181536315013,0.1,2.8209187494678263,497261.0638370943,75.17109755244837,0.07642282135228028,3,strong,1,3.6338,73.29545653906335,1.0613023604607903,1.172133024301499,0000001180,True,True,True
50,0.6993305318772475,0.15000000000000002,0.1959187494678262,9252.65092741564,3.6500344539959197,0.030271562041721222,0,mild,0,,,0.9043326956686604,0.9077183063844484,0000000288,False,False,False
51,15.045388434725913,0.25,12.645918749467826,698226.4180303866,113.7106804676437,0.09703708495659699,3,strong,1,15.0452,194.91888845892265,1.194843717075173,1.435304704547194,0000001384,True,True,True
52,21.58201438848921,0.25,5.1459187494678265,45353028.79008668,1078.377565653508,0.11391538090899685,3,strong,1,21.5847,1238.8293385892484,0.9043326956686604,0.8943949419346711,0000001185,True,True,True
53,32.5114877752731,0.15000000000000002,16.495918749467826,101257.9586819349,82.1616125620454,0.1829982843991256,2,mild,1,32.4995,123.29719224623295,1.0847306686388336,1.022870703185121,0000001048,True,True,True
54,4.62341064961085,0.15000000000000002,2.6959187494678263,28347557.63002951,523.3444809117301,0.0706422765292541,2,mild,1,4.6239,537.4656611465153,1.140958608265676,1.0986397875163436,0000001005,True,True,True
55,0.593365634598009,0.25,0.2959187494678262,179131.6578064701,11.455652916399139,0.02515883608132604,1,strong,0,,,1.0495882063719166,1.0111474364766129,0000000462,True,False,True
56,0.5077242667455584,0.25,0.19591874946782617,12261.95964539353,2.771810258412823,0.02484792669542899,0,mild,0,,,0.9441608195711662,1.0567044278153517,0000000178,False,False,False
57,0.530980562631599,0.25,0.14591874946782618,19384.33066960605,3.5617041309794697,0.024886684872071983,1,strong,0,,,1.194843717075173,1.3856892648777432,0000000693,True,False,True
58,4.477222119408509,0.15000000000000002,3.7959187494678264,11310200.94889652,323.6110054682209,0.06920456654478331,2,mild,1,4.4768,348.65376790265395,1.0027315900160276,0.9987291207890532,0000001060,True,True,True
59,0.5308875355131358,0.25,0.3959187494678262,10733.955550551189,2.6530471871813006,0.024888030094071117,0,mild,0,,,0.9207325113932217,0.9853398624399704,0000000121,False,False,False
60,8.08045165843331,0.15000000000000002,1.8459187494678264,21510414.48829133,589.0179701554013,0.09067440534219824,2,mild,1,8.0827,635.5419268356494,0.9043326956686604,0.8396614315936923,0000000939,True,True,True
61,0.8154024879302817,0.1,0.2209187494678262,10233.26394564383,5.077054607770793,0.037885569853139255,0,mild,0,,,0.983988943473672,1.006796501977003,0000000148,False,False,False
62,46.615594990210404,0.25,6.3959187494678265,12671275.107296038,839.0230796486551,0.1671315676162189,2,mild,1,46.6158,1332.9202899631762,0.9043326956686604,0.8870393474183039,0000000828,True,True,True
63,8.136866659433654,0.15000000000000002,2.045918749467826,7202469.3877950385,349.39340625648487,0.09290726315464204,2,mild,1,8.1365,295.2679233129034,1.1690725780794338,1.3387984985603738,0000001007,True,True,True
64,4.941588477149333,0.1,0.9209187494678263,15536405.59448828,485.1804661824029,0.08793911249520549,3,strong,1,4.9424,418.23085769136793,1.0542738680075054,1.02642175308866,0000001481,True,True,True
65,5.020181803577166,0.1,4.570918749467826,45967772.39750554,847.4942145590281,0.08927446852532134,3,strong,1,5.0197,733.3552227521607,1.0941019919100112,1.0005483949609275,0000001409,True,True,True
66,0.5937144130561359,0.25,0.4959187494678262,12106.563789609221,2.0072173530829795,0.025162607990109897,0,mild,0,,,1.1433014390836949,1.2981457927134306,0000000164,False,False,False
67,0.5205455777137986,0.25,0.3459187494678262,9523.267923201409,2.4743321244406182,0.024864915741024844,0,mild,0,,,0.9277610038466048,0.93624844027476,0000000128,False,False,False
68,49.34857706859681,0.25,46.34591874946783,32603.18695742187,46.62130196767844,0.1829982843991256,2,mild,1,49.3247,232.3587080656527,1.194843717075173,1.4193053413035517,0000001104,True,True,True
69,0.5021043896433165,0.25,0.14591874946782618,38411.264657221036,4.88914474005343,0.024845399742827262,1,strong,0,,,0.9019898648510196,0.9945321014319172,0000000555,True,False,True
70,5.800494992072393,0.15000000000000002,3.145918749467826,1784189.3121222577,145.30886557828472,0.07794622028817785,2,mild,1,5.7996,150.27602872693762,1.030845559829561,1.0845806320822975,0000000959,True,True,True
71,0.5047136781629693,0.25,0.19591874946782617,11591.660403650216,2.687418523421927,0.02484626485619711,0,mild,0,,,0.9254181730288104,1.0103387800037036,0000000152,False,False,False
72,7.765685914129359,0.15000000000000002,3.1959187494678263,720151.8747119003,106.49401112227774,0.08961819959124599,2,mild,1,7.7666,119.13811971612576,1.1878152246217897,1.350709220379895,0000001105,True,True,True
73,0.8717487048288352,0.25,0.6959187494678263,23166.844549267378,4.997772501050441,0.02748271773620103,1,strong,0,,,0.9324466654821938,0.9921688952361836,0000000441,True,False,True
74,3.5699665363982116,0.1,1.5709187494678263,1093430.4994289482,109.61623864165601,0.07518833725894135,2,mild,1,3.5702,107.48372752179938,0.9183896805754272,0.9133812424351104,0000000948,True,True,True
75,17.13876002650883,0.15000000000000002,8.445918749467827,82477.40554349082,55.269509893186076,0.1366533436151313,3,strong,1,17.1334,79.1269952969809,1.140958608265676,1.2312142005821924,0000001373,True,True,True
76,0.5067054568253979,0.25,0.2459187494678262,14674.087850260816,3.0293630612326705,0.02484728748703225,2,mild,1,47.0935,66.91914412576635,1.0905877456833195,1.190726852800738,0000000902,False,False,False
77,10.209436556446452,0.15000000000000002,0.3459187494678262,647580.965575817,118.01047571285592,0.10444738484448296,2,mild,1,10.2123,133.20715937848416,1.0905877456833195,1.179999401656683,0000000951,True,True,True
78,11.417316841103709,0.15000000000000002,4.445918749467826,40124290.421230145,914.2880930587257,0.10282659320757782,3,strong,1,11.4195,827.1947835993201,1.0472453755541222,1.178814746164912,0000001246,True,True,True
79,0.5333919847003855,0.25,0.3959187494678262,14810.169796985569,3.1230045769645547,0.024894109506068487,0,mild,0,,,1.0847306686388336,1.011166861450188,0000000317,False,False,False
80,4.440480772077326,0.05,0.8959187494678262,10941.400971039122,16.749589333686856,0.11391538090899685,0,mild,0,,,1.108158976816778,1.1031289833543958,0000000159,False,False,False
81,8.029066188475229,0.15000000000000002,4.045918749467827,4697374.392347861,276.36944733506704,0.09103509326949785,2,mild,1,8.0292,257.17825108749906,1.140958608265676,1.3426298846789466,0000000975,True,True,True
82,13.39587929017335,0.15000000000000002,11.195918749467827,940886.9023692643,153.36939903133091,0.1125,2,mild,1,13.3931,197.2330804147896,1.190158055439584,1.3551195014367636,0000001063,True,True,True
83,4.432685942597759,0.15000000000000002,2.4459187494678263,18357710.15432032,411.33378817363734,0.06905043679559701,2,mild,1,4.433,379.24717605833246,1.133930115812517,1.3039131138057587,0000001079,True,True,True
84,0.5085252006368303,0.25,0.19591874946782617,14211.715933231917,2.98686346847398,0.024848651191252073,1,strong,0,,,0.9254181730288104,1.1364386218514873,0000000463,False,False,False
85,0.5317632794580088,0.25,0.3959187494678262,11093.631324665717,2.6989007422389792,0.0248898573762168,0,mild,0,,,0.9371323271177828,0.8988711294622787,0000000204,False,False,False
86,0.5039582197989609,0.25,0.3959187494678262,15478.489314272862,3.1035328559719835,0.024845999750294667,0,mild,0,,,1.0472453755541222,0.959862358546666,0000000264,False,False,False
87,19.93500970202812,0.25,18.845918749467824,525587.3998415626,116.08875912825285,0.11391538090899685,2,mild,1,19.948,232.24698408257095,1.1479871007192837,1.2778006595721785,0000000910,True,True,True
88,46.47261122815714,0.15000000000000002,4.695918749467827,17982.983879712712,40.43286678356506,0.21356355530921164,2,mild,1,46.491,64.371784800513,1.0706736837320667,1.1985336302615697,0000001023,True,True,True
89,0.7528444666847689,0.15000000000000002,0.5459187494678263,13533.124411167895,4.584121326963631,0.03112878927442053,0,mild,0,,,1.1936723016662756,1.4170809055867684,0000000157,False,False,False
90,4.285975534836141,0.15000000000000002,3.745918749467826,1131731.2854450694,100.07657623107097,0.06771023871288617,2,mild,1,4.2858,103.09045616675644,1.0027315900160276,1.2354739720224746,0000001054,True,True,True
91,20.391114615478728,0.15000000000000002,18.445918749467825,1557100.5455340026,257.4093970357298,0.14639687228050138,2,mild,1,20.3877,244.52292924965096,1.096444822727806,1.0327498913742568,0000000872,True,True,True
92,38.94658946329811,0.25,29.795918749467827,247371.54478389042,108.53385356957267,0.15480585115252732,3,strong,1,38.9423,203.6335270438883,1.1058161459989837,1.0666548749025688,0000001188,True,True,True
93,0.5507451463048174,0.25,0.4459187494678262,17346.369813099507,3.435149425212399,0.02495239327455351,1,strong,0,,,1.0636451912786833,1.1164679046496857,0000000633,True,False,True
94,19.804718961669987,0.15000000000000002,3.245918749467826,294325.78839836887,107.43457441777386,0.1405823186717711,2,mild,1,19.8093,135.2710216729757,1.129244454176928,1.0611042817166476,0000001002,True,True,True
95,0.5686244553817739,0.25,0.3959187494678262,13089.06789636174,3.030727768121773,0.025027170967697646,0,mild,0,,,1.0812164224121417,1.197888962766238,0000000251,False,False,False
96,5.902177976272453,0.1,1.4209187494678264,87335490.0601062,1260.1261845913846,0.0961659761151556,3,strong,1,5.9023,1080.6707961863235,0.983988943473672,0.8773680280909079,0000001386,True,True,True
97,0.5155154707912945,0.25,0.4459187494678262,11808.707951662063,2.1445473400882262,0.024856806138474644,0,mild,0,,,1.1936723016662756,1.3863982481318544,0000000105,False,False,False
98,0.6740366796026106,0.1,0.6709187494678263,8570.019210972396,2.8782076685181974,0.034953897798366614,0,mild,0,,,0.9675891277491108,0.8981935336050195,0000000064,False,False,False
99,0.5242197602488379,0.25,0.4959187494678262,14245.747404185138,2.972644680903394,0.02487186857087177,0,mild,0,,,1.1936723016662756,1.439271378413762,0000000134,False,False,False
100,6.522117236791185,0.15000000000000002,6.1459187494678265,421734.4301410703,75.74881783420695,0.08343035500322525,3,strong,1,6.5232,96.23925173135756,1.0542738680075054,0.9551297217590484,0000001445,True,True,True
101,0.5127762460450813,0.15000000000000002,0.14591874946782618,21380.273061483775,4.747751243238075,0.027301022246953684,1,strong,0,,,1.096444822727806,1.0290457566398423,0000000537,True,False,True
102,0.5050501649380468,0.25,0.3959187494678262,130655.59037534938,9.028118215463433,0.024846567844762614,1,strong,0,,,1.194843717075173,1.3992943221597969,0000000738,True,False,True
103,0.5916740792751356,0.25,0.2459187494678262,7932.907298459161,2.4072126976749377,0.02514889394664548,0,mild,0,,,0.9090183573042492,0.9042826686720816,0000000195,False,False,False
104,0.5037069026600977,0.25,0.3459187494678262,11281.890410419635,2.64879236662762,0.024845881402185126,0,mild,0,,,1.194843717075173,1.366325865960993,0000000293,False,False,False
105,0.5787241562113448,0.25,0.2459187494678262,52829.21204730965,6.141797736330516,0.025076449994390567,1,strong,0,,,1.129244454176928,1.3102833526710698,0000000399,True,False,True
106,0.5704227467835641,0.25,0.3459187494678262,10607.149598280534,2.7340606809476595,0.025038674628304825,0,mild,0,,,1.0531024525987964,1.2027326769469389,0000000130,False,False,False
107,0.7553592003803108,0.25,0.2459187494678262,442039.4743483357,20.292217215098418,0.026392293742474638,3,strong,1,11.4758,75.0468833395002,1.103473315181189,1.0632929792146952,0000001435,True,False,False
108,0.5813444231708357,0.25,0.3459187494678262,92431.60071649682,8.14727986973326,0.025093872197736414,1,strong,0,,,1.1843009783950975,1.3331012720708642,0000000708,True,False,True
109,0.5004293827231339,0.25,0.2959187494678262,12696.62267950272,2.8012692116666695,0.02484521868402308,0,mild,0,,,1.159701254808256,1.254279145851236,0000000147,False,False,False
110,10.654567410143486,0.15000000000000002,0.09591874946782619,28103.285206511795,24.003554900502362,0.10444738484448296,3,strong,1,10.6564,43.683877091368984,1.1936723016662756,1.4102318778856704,0000001153,True,True,True
111,27.64680945183765,0.25,10.695918749467827,170878.80027867516,75.47158411805846,0.12970131035013507,2,mild,1,27.6588,157.84485237819266,1.1761010705328172,1.3577617379397946,0000000966,True,True,True
112,14.041451747282887,0.15000000000000002,7.795918749467827,509116.2468578215,115.74884867653188,0.11538651195694034,3,strong,1,14.0377,170.10878942730653,1.1936723016662756,1.413261840410218,0000001349,True,True,True
113,15.998613407284944,0.25,0.8959187494678262,6782583.743608993,364.6804602799281,0.09980335931562886,2,mild,1,16.0076,437.60880173028113,1.0905877456833195,1.1712147227451914,0000000860,True,True,True
114,13.588103671627998,0.15000000000000002,1.3459187494678264,2091147.6692306416,242.70469329483922,0.11933372375086429,3,strong,1,13.5843,242.33460006304708,0.9301038346643994,0.9776502735703546,0000001247,True,True,True
115,0.5170460244901842,0.25,0.14591874946782618,33748.39918216762,4.585105074281654,0.024858759305426456,1,strong,0,,,1.1714154088972284,1.16436757261421,0000000587,True,False,True
116,37.59367402691797,0.15000000000000002,22.045918749467827,231381.55157401343,138.85890668049038,0.20450320618095444,3,strong,1,37.5902,177.81344219149008,0.9968745129715414,0.8905506017652866,0000001238,True,True,True
117,0.5336362116258302,0.25,0.4459187494678262,9641.46565696182,0.8779495616441231,0.024894594003939497,0,mild,0,,,0.9558749736601384,0.9829882894125938,0000000156,False,False,False
118,0.5253102936232209,0.25,0.2959187494678262,12817.042608183096,2.8830470316817873,0.024874048538338148,0,mild,0,,,1.0847306686388336,1.3159838066965908,0000000139,False,False,False
119,0.5344833422713804,0.25,0.19591874946782617,727650.7216485176,21.91569086382236,0.02489755160179607,1,strong,0,,,1.1936723016662756,1.386735652068645,0000000474,True,False,True
120,35.23325190265902,0.25,30.045918749467827,30255.133929474334,37.95682630711242,0.15480585115252732,2,mild,1,35.2746,102.87451041735768,1.0706736837320667,1.34699781423134,0000001071,True,True,True
121,0.5972719688930389,0.25,0.14591874946782618,23986.441445842625,4.264048904644195,0.02518312814595385,1,strong,0,,,1.1936723016662756,1.3863982481318544,0000000531,True,False,True
122,0.6232413620022836,0.15000000000000002,0.09591874946782619,19176.229147925864,4.970535570443338,0.02904375241691239,1,strong,0,,,0.9019898648510196,1.015910976124226,0000000609,True,False,True
123,5.780577383315156,0.15000000000000002,5.695918749467827,3715320.3886002377,211.57243735466974,0.07862871353838154,3,strong,1,5.7811,226.16602526183723,1.1198731309057504,1.1347601463084436,0000001466,True,True,True
124,16.558115402872378,0.25,3.145918749467826,446047.96577951714,93.52025740285583,0.09980335931562886,3,strong,1,16.5577,146.0609315513006,1.1433014390836949,1.3552841084610352,0000001354,True,True,True
125,11.645484118912119,0.1,10.270918749467826,776225.1921833805,163.6043579412172,0.13189804411346798,3,strong,1,11.6485,158.67162475091746,1.0636451912786833,0.998001423223508,0000001462,True,True,True
126,0.5438652851544483,0.25,0.3959187494678262,258021.76969293185,13.165997106453476,0.02492745936391697,3,strong,1,42.2884,103.44805686420558,1.108158976816778,1.2535828800503592,0000001414,True,False,False
127,0.5129324848919249,0.25,0.4459187494678262,21232.64974309627,3.1071488440999806,0.02485335603660966,1,strong,0,,,0.9769604510202644,1.2011206212698458,0000000732,True,False,True
128,0.5519690680942779,0.25,0.19591874946782617,9203.055813180561,2.5046726357735887,0.024956753102041974,0,mild,0,,,1.0636451912786833,0.9974886688805212,0000000335,False,False,False
129,9.26089426175864,0.15000000000000002,1.8459187494678264,160051.3474113469,56.02019023484282,0.09980335931562886,2,mild,1,9.2624,70.91463983338349,0.9254181730288104,1.10397290210206,0000001094,True,True,True
